productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText
85559,Fraxure (14),Fraxure 14,https://tcgplayer-cdn.tcgplayer.com/product/85559_200w.jpg,3,1426,https://cpt.tcgcsv.com/cfJ,2025-12-10T23:46:36.613,1,14/20,Holo Rare,Dragon,70,Stage 1,[1FM] Dragon Claw (60),,Ox2,1,0.55,1.5,5.0,1.66,,Holofoil,"Grit - If this Pokemon is affected by a Special Condition, each of its attacks does 40 more damage (before applying Weakness and Resistance).  (Ability)"
85560,Fraxure (15),Fraxure 15,https://tcgplayer-cdn.tcgplayer.com/product/85560_200w.jpg,3,1426,https://cpt.tcgcsv.com/dfJ,2023-01-05T19:35:50.633,1,15/20,Holo Rare,Dragon,80,Stage 1,[1M] Scratch (20),[2F] Sharp Fang (40),Ox2,2,0.75,1.38,5.0,1.39,,Holofoil,
86034,Haxorus,Haxorus,https://tcgplayer-cdn.tcgplayer.com/product/86034_200w.jpg,3,1426,https://cpt.tcgcsv.com/JqJ,2025-12-10T23:47:05.543,1,16/20,Holo Rare,Dragon,140,Stage 2,"[2] Axe Slugger (60+) If the Defending Pokemon is a C Pokemon, this attack does 60 more damage.",[2FM] Dragon Pulse (100) Discard the top card of your deck.,Ox2,2,1.48,3.55,5.0,3.85,,Holofoil,
86563,Kyurem,Kyurem,https://tcgplayer-cdn.tcgplayer.com/product/86563_200w.jpg,3,1426,https://cpt.tcgcsv.com/hFJ,2023-01-05T19:36:43.56,1,21/20,Holo Rare,Dragon,130,Basic,[3] Dragon Claw (60),[2PW] Blizzard (90) Does 10 damage to each of your opponent's Benched Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),Ox2,2,64.53,68.39,200.0,61.46,,Holofoil,
86654,Latias,Latias,https://tcgplayer-cdn.tcgplayer.com/product/86654_200w.jpg,3,1426,https://cpt.tcgcsv.com/6HJ,2023-01-05T19:28:02.133,1,9/20,Holo Rare,Dragon,100,Basic,[1] Energy Assist - Attach a basic Energy card from your discard pile to 1 of your Benched Pokemon.,"[PR] Sky Heal (40) If Latios is on your Bench, heal 20 damage from this Pokemon.",Ox2,1,5.62,7.0,19.99,8.74,,Holofoil,
86668,Latios,Latios,https://tcgplayer-cdn.tcgplayer.com/product/86668_200w.jpg,3,1426,https://cpt.tcgcsv.com/nHJ,2026-02-25T19:28:27.84,1,10/20,Holo Rare,Dragon,100,Basic,"[1W] Sky Blade (20+) If Latias is on your Bench, this attack does 20 more damage.",[2P] Speed Wing (60),Ox2,1,4.36,6.99,19.99,6.43,19.99,Holofoil,
88631,Rayquaza,Rayquaza,https://tcgplayer-cdn.tcgplayer.com/product/88631_200w.jpg,3,1426,https://cpt.tcgcsv.com/FsK,2023-01-05T19:35:22.983,1,11/20,Holo Rare,Dragon,120,Basic,[L] Dragon Pulse (40) Discard the top 2 cards of your deck.,[1LR] Shred (90) This attack's damage isn't affected by any effects on the Defending Pokemon.,Ox2,3,23.4,28.45,56.99,30.9,,Holofoil,
88900,Salamence,Salamence,https://tcgplayer-cdn.tcgplayer.com/product/88900_200w.jpg,3,1426,https://cpt.tcgcsv.com/0BK,2023-01-05T19:27:45.543,1,8/20,Holo Rare,Dragon,140,Stage 2,[2RW] Shred (90) This attack's damage isn't affected by any effects on the Defending Pokemon.,,Ox2,2,2.0,3.89,4321.0,4.25,,Holofoil,"Scornful Storm - Once during your turn (before your attack), you may have your opponent discard cards from his or her hand until he or she has 4 cards left in his or her hand.  (Ability)"
89130,Shelgon,Shelgon,https://tcgplayer-cdn.tcgplayer.com/product/89130_200w.jpg,3,1426,https://cpt.tcgcsv.com/DGK,2023-01-05T19:27:36.573,1,7/20,Holo Rare,Dragon,80,Stage 1,"[1] Knock Away (10+) Flip a coin.  If heads, this attack does 20 more damage.",[1RW] Rollout (50),Ox2,3,0.77,1.48,4.99,1.62,0.77,Holofoil,
89632,Super Rod,Super Rod,https://tcgplayer-cdn.tcgplayer.com/product/89632_200w.jpg,3,1426,https://cpt.tcgcsv.com/GSK,2023-01-05T19:36:30.967,1,20/20,Holo Rare,Item,0,Item,Shuffle 3 in any combination of Pokemon and basic Energy cards from your discard pile back into your deck.,,,,4.59,7.3,16.79,6.91,,Holofoil,You may play as many Item cards as you like during your turn (before your attack).
98947,Dragon Vault 3 Pack Blister,Dragon Vault 3 Pack Blister,https://tcgplayer-cdn.tcgplayer.com/product/98947_200w.jpg,3,1426,https://cpt.tcgcsv.com/ZBP,2021-04-05T19:19:42.11,1,,,,,,,,,,1999.99,1999.99,1999.99,,,Normal,Contains 3 Pokemon TCG Booster packs and 1 promotional card. Promotional cards included may vary.
98948,Dragon Vault Booster Pack,Dragon Vault Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/98948_200w.jpg,3,1426,https://cpt.tcgcsv.com/-BP,2017-07-22T17:08:28.297,1,,,,,,,,,,260.26,267.63,275.0,199.99,,Normal,
280554,Code Card - Dragon Vault Booster Pack,Code Card Dragon Vault Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/280554_200w.jpg,3,1426,https://cpt.tcgcsv.com/6fg3,2022-07-27T20:53:07.79,1,,Code Card,,,,,,,,,,,,,,"This listing is <strong>not</strong> a physical item. Please keep in mind that this <strong>Code Card</strong> listing represents a digital copy of the stated item for the Pokémon TCG Online <strong>and/or</strong> the Pokémon TCG Live games. You may receive the physical <strong>Code Card</strong>. Upon purchase, please work with your specific Seller by sending them a message using the <strong>Contact Seller</strong> button on the order details in your <a href=https://store.tcgplayer.com/myaccount/orderhistory>Order History</a> to opt in to having your <strong>Code Card</strong> code delivered digitally due to the nature of the product."
